topology,strategy,fraction,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,random,0.1,1,1000,0.15,0.05,7,12.0,631,18149.5,0.887,179
ER,random,0.1,2,1000,0.15,0.05,7,13.0,631,18023.5,0.891,139
ER,random,0.1,3,1000,0.15,0.05,6,11.0,634,17917.5,0.885,222
ER,random,0.1,4,1000,0.15,0.05,6,11.0,618,17912.5,0.886,140
ER,random,0.1,5,1000,0.15,0.05,7,12.0,654,18846.5,0.894,176
ER,random,0.1,6,1000,0.15,0.05,5,10.0,635,17091.5,0.88,153
ER,random,0.1,7,1000,0.15,0.05,9,14.0,652,17806.5,0.888,159
ER,random,0.1,8,1000,0.15,0.05,7,13.0,621,17842.5,0.881,114
ER,random,0.1,9,1000,0.15,0.05,7,12.0,656,18050.5,0.884,130
ER,random,0.1,10,1000,0.15,0.05,6,12.0,647,17061.5,0.889,131
ER,random,0.1,11,1000,0.15,0.05,7,13.0,614,17640.5,0.883,123
ER,random,0.1,12,1000,0.15,0.05,9,14.0,618,18212.5,0.882,179
ER,random,0.1,13,1000,0.15,0.05,9,14.0,637,17564.5,0.892,131
ER,random,0.1,14,1000,0.15,0.05,9,14.0,642,17579.5,0.892,169
ER,random,0.1,15,1000,0.15,0.05,6,11.0,624,16481.5,0.879,137
ER,random,0.1,16,1000,0.15,0.05,7,12.0,648,17416.5,0.889,130
ER,random,0.1,17,1000,0.15,0.05,6,11.0,620,16827.5,0.883,206
ER,random,0.1,18,1000,0.15,0.05,9,15.0,611,17320.5,0.887,170
ER,random,0.1,19,1000,0.15,0.05,6,12.0,636,16925.5,0.882,125
ER,random,0.1,20,1000,0.15,0.05,9,14.0,642,17114.5,0.887,183
ER,random,0.1,21,1000,0.15,0.05,8,14.0,619,18011.5,0.883,142
ER,random,0.1,22,1000,0.15,0.05,7,12.0,634,17987.5,0.89,155
ER,random,0.1,23,1000,0.15,0.05,6,11.0,633,17183.5,0.88,140
ER,random,0.1,24,1000,0.15,0.05,6,12.0,641,18278.5,0.886,163
ER,random,0.1,25,1000,0.15,0.05,7,12.0,618,16959.5,0.887,137
ER,random,0.1,26,1000,0.15,0.05,6,11.0,637,17928.5,0.887,150
ER,random,0.1,27,1000,0.15,0.05,6,11.0,613,17916.5,0.879,183
ER,random,0.1,28,1000,0.15,0.05,5,10.0,633,17849.5,0.89,156
ER,random,0.1,29,1000,0.15,0.05,6,11.0,628,17604.5,0.879,148
ER,random,0.1,30,1000,0.15,0.05,6,11.0,648,17941.5,0.885,169
ER,random,0.1,31,1000,0.15,0.05,7,13.0,635,18600.5,0.889,124
ER,random,0.1,32,1000,0.15,0.05,6,11.0,636,17515.5,0.887,150
ER,random,0.1,33,1000,0.15,0.05,8,14.0,609,17716.5,0.889,136
